# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles:P'
# Event count (approx.): 11907981544
#
# Overhead  Command        Shared Object               Symbol                               
# ........  .............  ..........................  .....................................
#
     0.01%  my_executable  [kernel.vmlinux]            [k] update_curr_se
     0.01%  my_executable  [kernel.vmlinux]            [k] calc_global_load_tick
     0.01%  my_executable  [kernel.vmlinux]            [k] native_read_msr
     0.01%  my_executable  [kernel.vmlinux]            [k] cpufreq_driver_fast_switch
     0.01%  my_executable  [kernel.vmlinux]            [k] cpuacct_account_field
     0.01%  my_executable  [kernel.vmlinux]            [k] plist_del
     0.01%  my_executable  [kernel.vmlinux]            [k] get_futex_key
     0.01%  my_executable  [kernel.vmlinux]            [k] cpu_util
     0.01%  my_executable  [kernel.vmlinux]            [k] get_next_freq.constprop.0
     0.01%  my_executable  libc.so.6                   [.] 0x000000000009802b
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x0000000000009a7e
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007331a
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x00000000000235c4
     0.01%  my_executable  libc.so.6                   [.] 0x000000000015982f
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000988a
     0.01%  my_executable  libstencil.so               [.] comm_handler_ghost_exchange
     0.01%  my_executable  [kernel.vmlinux]            [k] __hrtimer_run_queues
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000099657
     0.01%  my_executable  [kernel.vmlinux]            [k] internal_get_user_pages_fast
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073b4d
     0.01%  my_executable  [kernel.vmlinux]            [k] __update_idle_core
     0.00%  my_executable  [kernel.vmlinux]            [k] rb_next
     0.00%  my_executable  [kernel.vmlinux]            [k] __update_load_avg_cfs_rq
     0.00%  my_executable  [kernel.vmlinux]            [k] do_user_addr_fault
     0.00%  my_executable  [kernel.vmlinux]            [k] security_inode_permission
     0.00%  my_executable  [kernel.vmlinux]            [k] __pte_offset_map_lock
     0.00%  my_executable  [kernel.vmlinux]            [k] alloc_pages_mpol
     0.00%  my_executable  [kernel.vmlinux]            [k] pfn_pte
     0.00%  my_executable  [kernel.vmlinux]            [k] __count_memcg_events
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073971
     0.00%  my_executable  [kernel.vmlinux]            [k] do_sys_openat2
     0.00%  my_executable  [kernel.vmlinux]            [k] kernfs_fop_release
     0.00%  my_executable  [kernel.vmlinux]            [k] string
     0.00%  my_executable  [kernel.vmlinux]            [k] mas_wr_walk
     0.00%  my_executable  libc.so.6                   [.] __cxa_finalize
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x0000000000009872
     0.00%  my_executable  [kernel.vmlinux]            [k] find_busiest_group
     0.00%  my_executable  [kernel.vmlinux]            [k] perf_ctx_disable
     0.00%  my_executable  libc.so.6                   [.] 0x000000000015964f
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000159653
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000055147
     0.00%  my_executable  [kernel.vmlinux]            [k] nohz_balance_exit_idle
     0.00%  my_executable  [kernel.vmlinux]            [k] mntput
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000097d6b
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x00000000000235de
     0.00%  my_executable  [kernel.vmlinux]            [k] __get_random_u32_below
     0.00%  my_executable  libc.so.6                   [.] 0x000000000015aca0
     0.00%  my_executable  libc.so.6                   [.] 0x000000000005d014
     0.00%  my_executable  [kernel.vmlinux]            [k] _raw_spin_lock_irq
     0.00%  my_executable  [kernel.vmlinux]            [k] perf_iterate_sb.constprop.0
     0.00%  my_executable  libc.so.6                   [.] pthread_mutex_lock
     0.00%  my_executable  libc.so.6                   [.] 0x000000000009947c
     0.00%  my_executable  libfabric.so.1.24.0         [.] 0x0000000000077a80
     0.00%  my_executable  libc.so.6                   [.] 0x000000000005d024
     0.00%  my_executable  libevent_core-2.1.so.7.0.1  [.] 0x000000000001898c
     0.00%  my_executable  [kernel.vmlinux]            [k] filemap_read
     0.00%  my_executable  libpmix.so.2.9.5            [.] 0x000000000012c380
     0.00%  my_executable  [kernel.vmlinux]            [k] inet_shutdown
     0.00%  my_executable  [kernel.vmlinux]            [k] get_nohz_timer_target
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000097fe1
     0.00%  my_executable  [kernel.vmlinux]            [k] ktime_get_with_offset
     0.00%  my_executable  [kernel.vmlinux]            [k] insert_vmap_area.constprop.0
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x0000000000019d62
     0.00%  my_executable  libc.so.6                   [.] 0x000000000009aede
     0.00%  my_executable  [kernel.vmlinux]            [k] intel_cpuc_prepare
     0.00%  my_executable  [kernel.vmlinux]            [k] perf_event_mmap
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000733eb
     0.00%  my_executable  libpciaccess.so.0.11.1      [.] 0x000000000000290b
     0.00%  my_executable  [kernel.vmlinux]            [k] mt_find
     0.00%  my_executable  [kernel.vmlinux]            [k] lru_add_drain_cpu
     0.00%  my_executable  [kernel.vmlinux]            [k] prepend_path
     0.00%  my_executable  libhwloc.so.15.7.0          [.] 0x0000000000044db7
     0.00%  my_executable  [kernel.vmlinux]            [k] security_perf_event_alloc
     0.00%  my_executable  libc.so.6                   [.] 0x000000000005d12c
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000097e60
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000013db7
     0.00%  my_executable  [kernel.vmlinux]            [k] __snmp6_fill_stats64.constprop.0
     0.00%  my_executable  libc.so.6                   [.] pthread_create
     0.00%  my_executable  [kernel.vmlinux]            [k] sched_clock_cpu
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000015a0f
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073c99
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000014e2b
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000157d4a
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073c66
     0.00%  my_executable  [kernel.vmlinux]            [k] run_posix_cpu_timers
     0.00%  my_executable  [kernel.vmlinux]            [k] import_ubuf
     0.00%  my_executable  [kernel.vmlinux]            [k] deactivate_slab
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000733bb
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073b2f
     0.00%  my_executable  [kernel.vmlinux]            [k] sched_core_idle_cpu
     0.00%  my_executable  [kernel.vmlinux]            [k] folio_batch_move_lru
     0.00%  my_executable  libc.so.6                   [.] openat64
     0.00%  my_executable  libc.so.6                   [.] 0x000000000009af37
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073374
     0.00%  my_executable  libhwloc.so.15.7.0          [.] 0x000000000003492c
     0.00%  my_executable  [kernel.vmlinux]            [k] build_open_flags
     0.00%  my_executable  [kernel.vmlinux]            [k] __check_object_size
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073772
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007313d
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073da7
     0.00%  my_executable  libc.so.6                   [.] 0x000000000009a2c4
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000014d34
     0.00%  my_executable  libc.so.6                   [.] _IO_file_underflow
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000016578
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000014c85
