# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cycles:P'
# Event count (approx.): 19700811021
#
# Overhead  Command        Shared Object           Symbol                                      
# ........  .............  ......................  ............................................
#
     0.00%  my_executable  libc.so.6               [.] 0x0000000000097eee
     0.00%  my_executable  [kernel.vmlinux]        [k] __perf_addr_filters_adjust
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073181
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d7e
     0.00%  my_executable  [nfs]                   [k] 0x00000000000090c5
     0.00%  my_executable  libc.so.6               [.] 0x0000000000099404
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073404
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_wr_bnode
     0.00%  my_executable  [kernel.vmlinux]        [k] try_to_wake_up
     0.00%  my_executable  libm.so.6               [.] 0x00000000000733a6
     0.00%  my_executable  libudev.so.1.7.8        [.] 0x00000000000160b3
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073303
     0.00%  my_executable  [kernel.vmlinux]        [k] sched_core_idle_cpu
     0.00%  my_executable  [kernel.vmlinux]        [k] lockref_put_return
     0.00%  my_executable  libm.so.6               [.] 0x00000000000735a5
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] 0x000000000002241e
     0.00%  my_executable  libudev.so.1.7.8        [.] 0x000000000001750a
     0.00%  my_executable  [kernel.vmlinux]        [k] kmem_cache_alloc
     0.00%  my_executable  libm.so.6               [.] 0x000000000007376d
     0.00%  my_executable  [kernel.vmlinux]        [k] dnotify_flush
     0.00%  my_executable  libudev.so.1.7.8        [.] 0x000000000001649a
     0.00%  my_executable  [kernel.vmlinux]        [k] set_root
     0.00%  my_executable  libc.so.6               [.] 0x00000000000608b9
     0.00%  my_executable  libc.so.6               [.] 0x00000000000992cc
     0.00%  my_executable  [kernel.vmlinux]        [k] kernfs_unlink_open_file
     0.00%  my_executable  libc.so.6               [.] 0x000000000015b464
