# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles:P'
# Event count (approx.): 18233692210
#
# Overhead  Command        Shared Object              Symbol                               
# ........  .............  .........................  .....................................
#
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x0000000000015a12
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d7e
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073cdf
     0.00%  my_executable  [kernel.vmlinux]           [k] set_nlink
     0.00%  my_executable  [kernel.vmlinux]           [k] lru_add_drain
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000159446
     0.00%  my_executable  libopen-pal.so.80.0.2      [.] opal_pmix_convert_nspace
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000025fa
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000025dc
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009a9ba
     0.00%  my_executable  [kernel.vmlinux]           [k] filemap_get_pages
     0.00%  my_executable  libc.so.6                  [.] 0x000000000015a00a
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000086579
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002652
     0.00%  my_executable  libc.so.6                  [.] realloc
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007347c
     0.00%  my_executable  libz.so.1.3.1              [.] 0x0000000000003ad1
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009a2f2
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073bc6
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073757
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000027e5
     0.00%  my_executable  [kernel.vmlinux]           [k] mtree_load
     0.00%  my_executable  libc.so.6                  [.] 0x00000000001572f0
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073568
     0.00%  my_executable  [kernel.vmlinux]           [k] kmem_cache_free
     0.00%  my_executable  [kernel.vmlinux]           [k] should_failslab.constprop.0
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000025b8
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c2f
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b58
     0.00%  my_executable  [kernel.vmlinux]           [k] _raw_spin_unlock
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002746
     0.00%  my_executable  [kernel.vmlinux]           [k] mas_wr_node_store
     0.00%  my_executable  [kernel.vmlinux]           [k] do_dentry_open
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x000000000000277a
     0.00%  my_executable  [kernel.vmlinux]           [k] pud_val
     0.00%  my_executable  [kernel.vmlinux]           [k] mutex_unlock
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000159407
     0.00%  my_executable  libc.so.6                  [.] 0x000000000005d19a
     0.00%  my_executable  libc.so.6                  [.] __libc_calloc
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073370
     0.00%  my_executable  [kernel.vmlinux]           [k] bpf_lsm_d_instantiate
     0.00%  my_executable  [kernel.vmlinux]           [k] mas_empty_area_rev
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d54
     0.00%  my_executable  [kernel.vmlinux]           [k] security_vm_enough_memory_mm
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000097d5b
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x00000000000093cf
     0.00%  my_executable  [kernel.vmlinux]           [k] psi_group_change
     0.00%  my_executable  [kernel.vmlinux]           [k] rw_verify_area
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c4c
     0.00%  my_executable  libgomp.so.1.0.0           [.] gomp_team_start
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000735a8
     0.00%  my_executable  libc.so.6                  [.] 0x000000000015a06b
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073a91
     0.00%  my_executable  [kernel.vmlinux]           [k] free_unref_page_list
     0.00%  my_executable  [kernel.vmlinux]           [k] copy_process
     0.00%  my_executable  libc.so.6                  [.] 0x000000000005eb04
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007374e
     0.00%  my_executable  [kernel.vmlinux]           [k] uncharge_folio
     0.00%  my_executable  libfabric.so.1.24.0        [.] fi_getinfo
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073313
     0.00%  my_executable  libc.so.6                  [.] __strtok_r
     0.00%  my_executable  [kernel.vmlinux]           [k] may_open
     0.00%  my_executable  [kernel.vmlinux]           [k] __mod_zone_page_state
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c7f
     0.00%  my_executable  [kernel.vmlinux]           [k] get_next_freq.constprop.0
     0.00%  my_executable  libc.so.6                  [.] 0x000000000005d2d9
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733f3
     0.00%  my_executable  [kernel.vmlinux]           [k] available_idle_cpu
     0.00%  my_executable  libc.so.6                  [.] 0x000000000005d159
     0.00%  my_executable  [kernel.vmlinux]           [k] inet_fill_ifaddr
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c76
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000733ef
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c5d
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009a2ee
     0.00%  my_executable  [kernel.vmlinux]           [k] kmalloc_node_trace
     0.00%  my_executable  [kernel.vmlinux]           [k] __sysvec_apic_timer_interrupt
     0.00%  my_executable  [kernel.vmlinux]           [k] vfs_read
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073334
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073955
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d9f
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c66
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073337
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073c58
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073d7a
     0.00%  my_executable  [kernel.vmlinux]           [k] link_path_walk.part.0.constprop.0
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000734db
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073cd4
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073437
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073910
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x00000000000250d0
     0.00%  my_executable  [kernel.vmlinux]           [k] inherit_task_group.isra.0
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073363
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073cba
